isapre,mujer,ingresos,ocupado
NA,1,250,1
0,1,211.091,1
NA,0,296.75,1
0,0,113.889,1
0,1,231.667,1
0,1,418.75,1
NA,0,211.629,0
0,0,438.259,0
0,1,210,1
0,0,200,1
NA,1,159.588,0
0,1,447.482,1
0,1,289.444,1
0,1,264.161,0
0,0,490.516,1
0,1,406.013,0
0,1,517.578,0
0,0,850,1
0,1,150,1
0,0,151.842,1
NA,1,350,1
0,1,160,1
0,1,160,1
0,1,536.255,0
0,1,529.932,0
0,0,175.875,1
0,0,140,1
0,0,261.25,1
0,1,500,1
0,1,150,1
NA,0,219.444,0
0,1,453.684,0
0,0,489,0
0,1,146.667,1
0,1,806.5,0
0,0,100,1
1,1,0,0
0,0,1123.334,1
NA,0,394.762,1
0,0,580,1
0,1,460,1
NA,0,332.406,1
NA,0,592.5,1
1,0,1460.657,1
0,1,95.895,1
0,0,150,0
1,0,1900,1
1,0,1840,1
0,1,493.333,0
NA,0,221.429,0
0,1,469,0
0,0,659.45,1
0,1,117.5,1
1,0,720.625,1
0,1,1116.841,1
0,1,2497.212,1
1,0,1766.667,1
1,0,505.568,1
1,0,233.333,1
1,1,883.334,1
0,1,370,1
0,1,236.333,0
0,1,88.85,0
1,0,2073.334,1
1,0,526.667,1
1,0,2085.856,1
0,0,200,0
1,0,3054.921,1
0,1,452.5,0
0,0,916.125,1
0,0,258.333,0
NA,0,325.167,1
0,0,327.083,1
NA,0,225.542,1
NA,0,558.333,1
1,0,448.584,1
0,0,360.365,1
NA,0,458.792,1
NA,0,397.188,1
NA,0,392.167,1
NA,0,636.567,1
0,0,303.333,1
NA,0,397.278,0
NA,0,291.655,1
0,1,737.5,1
0,0,393.631,0
0,0,290.417,1
0,0,1400,0
0,0,505,1
1,1,548.334,1
0,0,425,0
0,1,290,0
0,0,296.059,0
0,0,975,1
1,0,265.862,0
NA,0,150,1
0,0,195.198,1
0,0,200.892,0
0,0,887.5,1
0,1,297.4,1
0,0,256.129,1
0,0,290.146,1
0,1,148.311,1
0,1,65,0
0,0,147.368,1
0,1,520.833,1
0,1,255.5,1
0,1,208.333,1
0,1,191.044,0
0,0,133.727,0
0,0,164.729,1
0,1,250,1
0,1,125,1
0,0,75,1
0,1,525.823,1
0,1,380.921,1
0,1,328.403,1
0,0,281.023,0
0,0,118.469,1
0,0,85.513,1
0,0,128.241,1
0,0,140.347,1
0,1,317.5,0
0,0,83.333,1
0,1,190,1
0,0,300,0
0,1,156.442,1
0,1,142,0
0,1,151.549,1
0,0,242.086,1
0,0,258.802,1
0,0,375,1
0,1,62.5,1
